date,dcoilwtico
1/1/2013,93.14
1/2/2013,92.97
1/3/2013,93.12
1/4/2013,93.2
1/7/2013,93.21
1/8/2013,93.08
1/9/2013,93.81
1/10/2013,93.6
1/11/2013,94.27
1/14/2013,93.26
1/15/2013,94.28
1/16/2013,95.49
1/17/2013,95.61
1/18/2013,96.09
1/21/2013,95.06
1/22/2013,95.35
1/23/2013,95.15
1/24/2013,95.95
1/25/2013,97.62
1/28/2013,97.98
1/29/2013,97.65
1/30/2013,97.46
1/31/2013,96.21
2/1/2013,96.68
2/4/2013,96.44
2/5/2013,95.84
2/6/2013,95.71
2/7/2013,97.01
2/8/2013,97.48
2/11/2013,97.03
2/12/2013,97.3
2/13/2013,95.95
2/14/2013,96.69
2/15/2013,94.92
2/18/2013,92.79
2/19/2013,93.12
2/20/2013,92.74
2/21/2013,92.63
2/22/2013,92.84
2/25/2013,92.03
2/26/2013,90.71
2/27/2013,90.13
2/28/2013,90.88
3/1/2013,90.47
3/4/2013,91.53
3/5/2013,92.01
3/6/2013,92.07
3/7/2013,92.44
3/8/2013,92.47
3/11/2013,93.03
3/12/2013,93.49
3/13/2013,93.71
3/14/2013,92.44
3/15/2013,93.21
3/18/2013,92.46
3/19/2013,93.41
3/20/2013,94.55
3/21/2013,95.99
3/22/2013,96.53
3/25/2013,97.24
3/26/2013,97.1
3/27/2013,97.23
3/28/2013,95.02
3/29/2013,93.26
4/1/2013,92.76
4/2/2013,93.36
4/3/2013,94.18
4/4/2013,94.59
4/5/2013,93.44
4/8/2013,91.23
4/9/2013,88.75
4/10/2013,88.73
4/11/2013,86.65
4/12/2013,87.83
4/15/2013,88.04
4/16/2013,88.81
4/17/2013,89.21
4/18/2013,91.07
4/19/2013,93.27
4/22/2013,92.63
4/23/2013,94.09
4/24/2013,93.22
4/25/2013,90.74
4/26/2013,93.7
4/29/2013,95.25
4/30/2013,95.8
5/1/2013,95.28
5/2/2013,96.24
5/3/2013,96.09
5/6/2013,95.81
5/7/2013,94.76
5/8/2013,93.96
5/9/2013,93.95
5/10/2013,94.85
5/13/2013,95.72
5/14/2013,96.29
5/15/2013,95.55
5/16/2013,93.98
5/17/2013,94.12
5/20/2013,93.84
5/21/2013,94.65
5/22/2013,93.13
5/23/2013,93.57
5/24/2013,91.93
5/27/2013,93.41
5/28/2013,93.36
5/29/2013,93.66
5/30/2013,94.71
5/31/2013,96.11
6/3/2013,95.82
6/4/2013,95.5
6/5/2013,95.98
6/6/2013,96.66
6/7/2013,97.83
6/10/2013,97.86
6/11/2013,98.46
6/12/2013,98.24
6/13/2013,94.89
6/14/2013,93.81
6/17/2013,95.07
6/18/2013,95.25
6/19/2013,95.47
6/20/2013,97
6/21/2013,96.36
6/24/2013,97.94
6/25/2013,99.65
6/26/2013,101.92
6/27/2013,103.09
6/28/2013,103.03
7/1/2013,103.46
7/2/2013,106.41
7/3/2013,104.77
7/4/2013,105.85
7/5/2013,106.2
7/8/2013,105.88
7/9/2013,106.39
7/10/2013,107.94
7/11/2013,108
7/12/2013,106.61
7/15/2013,107.13
7/16/2013,105.41
7/17/2013,105.47
7/18/2013,104.76
7/19/2013,104.61
7/22/2013,103.14
7/23/2013,105.1
7/24/2013,107.93
7/25/2013,106.94
7/26/2013,106.61
7/29/2013,105.32
7/30/2013,104.41
7/31/2013,103.45
8/1/2013,106.04
8/2/2013,106.19
8/5/2013,106.78
8/6/2013,106.89
8/7/2013,107.43
8/8/2013,107.58
8/9/2013,107.14
8/12/2013,104.9
8/13/2013,103.93
8/14/2013,104.93
8/15/2013,106.48
8/16/2013,105.88
8/19/2013,109.11
8/20/2013,110.17
8/21/2013,108.51
8/22/2013,107.98
8/23/2013,108.67
8/26/2013,107.29
8/27/2013,108.5
8/28/2013,110.62
8/29/2013,109.62
8/30/2013,107.48
9/2/2013,107.65
9/3/2013,108.72
9/4/2013,108.31
9/5/2013,106.54
9/6/2013,105.36
9/9/2013,108.23
9/10/2013,106.26
9/11/2013,104.7
9/12/2013,103.62
9/13/2013,103.22
9/16/2013,102.68
9/17/2013,103.1
9/18/2013,102.86
9/19/2013,102.36
9/20/2013,102.09
9/23/2013,104.15
9/24/2013,103.29
9/25/2013,103.83
9/26/2013,103.07
9/27/2013,103.54
9/30/2013,101.63
10/1/2013,103.08
10/2/2013,102.17
10/3/2013,102.46
10/4/2013,101.15
10/7/2013,102.34
10/8/2013,100.72
10/9/2013,100.87
10/10/2013,99.28
10/11/2013,97.63
10/14/2013,96.9
10/15/2013,96.65
10/16/2013,97.4
10/17/2013,98.74
10/18/2013,98.29
10/21/2013,96.81
10/22/2013,96.29
10/23/2013,94.56
10/24/2013,94.58
10/25/2013,93.4
10/28/2013,94.74
10/29/2013,94.25
10/30/2013,94.56
10/31/2013,95.13
11/1/2013,93.12
11/4/2013,93.91
11/5/2013,93.76
11/6/2013,93.8
11/7/2013,93.03
11/8/2013,93.35
11/11/2013,93.34
11/12/2013,95.35
11/13/2013,94.53
11/14/2013,93.86
11/15/2013,93.41
11/18/2013,92.05
11/19/2013,92.55
11/20/2013,93.61
11/21/2013,95.83
11/22/2013,96.97
11/25/2013,97.14
11/26/2013,97.48
11/27/2013,97.1
11/28/2013,98.32
11/29/2013,97.25
12/2/2013,97.21
12/3/2013,96.27
12/4/2013,97.18
12/5/2013,96.99
12/6/2013,97.59
12/9/2013,98.4
12/10/2013,99.11
12/11/2013,98.62
12/12/2013,98.87
12/13/2013,99.18
12/16/2013,99.94
12/17/2013,98.9
12/18/2013,98.17
12/19/2013,95.14
12/20/2013,93.66
12/23/2013,93.12
12/24/2013,93.31
12/25/2013,91.9
12/26/2013,91.36
12/27/2013,92.39
12/30/2013,91.45
12/31/2013,92.15
1/1/2014,93.78
1/2/2014,93.54
1/3/2014,93.96
1/6/2014,94.51
1/7/2014,96.35
1/8/2014,97.23
1/9/2014,96.66
1/10/2014,95.82
1/13/2014,97.49
1/14/2014,97.34
1/15/2014,98.25
1/16/2014,97.55
1/17/2014,96.44
1/20/2014,97.24
1/21/2014,97.4
1/22/2014,97.84
1/23/2014,99.98
1/24/2014,100.12
1/27/2014,99.96
1/28/2014,100.38
1/29/2014,100.27
1/30/2014,100.31
1/31/2014,102.54
2/3/2014,103.46
2/4/2014,103.2
2/5/2014,102.53
2/6/2014,103.17
2/7/2014,102.2
2/10/2014,102.93
2/11/2014,102.68
2/12/2014,102.88
2/13/2014,105.34
2/14/2014,103.64
2/17/2014,101.75
2/18/2014,101.82
2/19/2014,102.82
2/20/2014,101.39
2/21/2014,100.29
2/24/2014,98.29
2/25/2014,98.57
2/26/2014,99.23
2/27/2014,98.43
2/28/2014,100.08
3/3/2014,100.71
3/4/2014,99.68
3/5/2014,99.97
3/6/2014,100.05
3/7/2014,99.66
3/10/2014,100.61
3/11/2014,101.25
3/12/2014,101.73
3/13/2014,101.57
3/14/2014,99.69
3/17/2014,99.6
3/18/2014,100.29
3/19/2014,101.16
3/20/2014,100.43
3/21/2014,102.57
3/24/2014,103.55
3/25/2014,103.37
3/26/2014,103.68
3/27/2014,104.05
3/28/2014,103.7
3/31/2014,103.71
4/1/2014,104.33
4/2/2014,104.35
4/3/2014,101.69
4/4/2014,101.47
4/7/2014,102.2
4/8/2014,100.85
4/9/2014,101.13
4/10/2014,101.56
4/11/2014,100.07
4/14/2014,99.69
4/15/2014,100.09
4/16/2014,99.74
4/17/2014,99.81
4/18/2014,101.06
4/21/2014,100.52
4/22/2014,100.32
4/23/2014,100.89
4/24/2014,102.01
4/25/2014,102.63
4/28/2014,101.74
4/29/2014,102.31
4/30/2014,102.95
5/1/2014,102.8
5/2/2014,104.31
5/5/2014,104.03
5/6/2014,105.01
5/7/2014,104.78
5/8/2014,103.37
5/9/2014,104.26
5/12/2014,103.4
5/13/2014,103.07
5/14/2014,103.34
5/15/2014,103.27
5/16/2014,103.17
5/19/2014,103.32
5/20/2014,105.09
5/21/2014,105.02
5/22/2014,105.04
5/23/2014,107.2
5/26/2014,107.49
5/27/2014,107.52
5/28/2014,106.95
5/29/2014,106.64
5/30/2014,107.08
6/2/2014,107.95
6/3/2014,106.83
6/4/2014,106.64
6/5/2014,107.04
6/6/2014,106.49
6/9/2014,106.46
6/10/2014,106.07
6/11/2014,106.06
6/12/2014,105.18
6/13/2014,104.76
6/16/2014,104.19
6/17/2014,104.06
6/18/2014,102.93
6/19/2014,103.61
6/20/2014,101.48
6/23/2014,101.73
6/24/2014,100.56
6/25/2014,101.88
6/26/2014,103.84
6/27/2014,103.83
6/30/2014,105.34
7/1/2014,104.59
7/2/2014,103.81
7/3/2014,102.76
7/4/2014,105.23
7/7/2014,105.68
7/8/2014,104.91
7/9/2014,104.29
7/10/2014,98.23
7/11/2014,97.86
7/14/2014,98.26
7/15/2014,97.34
7/16/2014,96.93
7/17/2014,97.34
7/18/2014,97.61
7/21/2014,98.09
7/22/2014,97.36
7/23/2014,97.57
7/24/2014,95.54
7/25/2014,97.3
7/28/2014,96.44
7/29/2014,94.35
7/30/2014,96.4
7/31/2014,93.97
8/1/2014,93.61
8/4/2014,95.39
8/5/2014,95.78
8/6/2014,95.82
8/7/2014,96.44
8/8/2014,97.86
8/11/2014,92.92
8/12/2014,95.5
8/13/2014,94.51
8/14/2014,93.32
8/15/2014,92.64
8/18/2014,92.73
8/19/2014,91.71
8/20/2014,92.89
8/21/2014,92.18
8/22/2014,92.86
8/25/2014,94.91
8/26/2014,94.33
8/27/2014,93.07
8/28/2014,92.43
8/29/2014,91.46
9/1/2014,91.55
9/2/2014,93.6
9/3/2014,93.59
9/4/2014,95.55
9/5/2014,94.53
9/8/2014,91.17
9/9/2014,90.74
9/10/2014,91.02
9/11/2014,89.76
9/12/2014,90.33
9/15/2014,88.89
9/16/2014,87.29
9/17/2014,85.76
9/18/2014,85.87
9/19/2014,85.73
9/22/2014,81.72
9/23/2014,81.82
9/24/2014,82.33
9/25/2014,82.8
9/26/2014,82.76
9/29/2014,83.25
9/30/2014,80.52
10/1/2014,82.81
10/2/2014,81.27
10/3/2014,81.26
10/6/2014,81.36
10/7/2014,82.25
10/8/2014,81.06
10/9/2014,80.53
10/10/2014,78.77
10/13/2014,77.15
10/14/2014,78.71
10/15/2014,77.87
10/16/2014,78.71
10/17/2014,77.43
10/20/2014,77.85
10/21/2014,77.16
10/22/2014,74.13
10/23/2014,75.91
10/24/2014,75.64
10/27/2014,74.55
10/28/2014,74.55
10/29/2014,75.63
10/30/2014,76.52
10/31/2014,75.74
11/3/2014,74.04
11/4/2014,73.7
11/5/2014,65.94
11/6/2014,68.98
11/7/2014,66.99
11/10/2014,67.3
11/11/2014,66.73
11/12/2014,65.89
11/13/2014,63.13
11/14/2014,63.74
11/17/2014,60.99
11/18/2014,60.01
11/19/2014,57.81
11/20/2014,55.96
11/21/2014,55.97
11/24/2014,56.43
11/25/2014,54.18
11/26/2014,56.91
11/27/2014,55.25
11/28/2014,56.78
12/1/2014,55.7
12/2/2014,54.59
12/3/2014,53.46
12/4/2014,54.14
12/5/2014,53.45
12/8/2014,52.72
12/9/2014,50.05
12/10/2014,47.98
12/11/2014,48.69
12/12/2014,48.8
12/15/2014,48.35
12/16/2014,46.06
12/17/2014,45.92
12/18/2014,48.49
12/19/2014,46.37
12/22/2014,48.49
12/23/2014,46.79
12/24/2014,47.85
12/25/2014,45.93
12/26/2014,45.26
12/29/2014,44.8
12/30/2014,45.84
12/31/2014,44.08
1/1/2015,44.12
1/2/2015,47.79
1/5/2015,49.25
1/6/2015,53.04
1/7/2015,48.45
1/8/2015,50.48
1/9/2015,51.66
1/12/2015,52.99
1/13/2015,50.06
1/14/2015,48.8
1/15/2015,51.17
1/16/2015,52.66
1/19/2015,53.56
1/20/2015,52.13
1/21/2015,51.12
1/22/2015,49.95
1/23/2015,49.56
1/26/2015,48.48
1/27/2015,50.25
1/28/2015,47.65
1/29/2015,49.84
1/30/2015,49.59
2/2/2015,50.43
2/3/2015,51.53
2/4/2015,50.76
2/5/2015,49.61
2/6/2015,49.95
2/9/2015,48.42
2/10/2015,48.06
2/11/2015,47.12
2/12/2015,44.88
2/13/2015,43.93
2/16/2015,43.39
2/17/2015,44.63
2/18/2015,44.02
2/19/2015,46
2/20/2015,47.4
2/23/2015,47.03
2/24/2015,48.75
2/25/2015,51.41
2/26/2015,48.83
2/27/2015,48.66
3/2/2015,47.72
3/3/2015,50.12
3/4/2015,49.13
3/5/2015,52.08
3/6/2015,53.95
3/9/2015,50.44
3/10/2015,50.79
3/11/2015,51.63
3/12/2015,51.95
3/13/2015,53.3
3/16/2015,56.25
3/17/2015,56.69
3/18/2015,55.71
3/19/2015,56.37
3/20/2015,55.58
3/23/2015,56.17
3/24/2015,56.59
3/25/2015,55.98
3/26/2015,55.56
3/27/2015,57.05
3/30/2015,58.55
3/31/2015,59.62
4/1/2015,59.1
4/2/2015,58.92
4/3/2015,60.38
4/6/2015,60.93
4/7/2015,58.99
4/8/2015,59.41
4/9/2015,59.23
4/10/2015,60.72
4/13/2015,60.5
4/14/2015,59.89
4/15/2015,59.73
4/16/2015,59.44
4/17/2015,57.3
4/20/2015,58.96
4/21/2015,60.18
4/22/2015,58.88
4/23/2015,57.29
4/24/2015,57.51
4/27/2015,57.69
4/28/2015,60.25
4/29/2015,60.24
4/30/2015,61.3
5/1/2015,59.67
5/4/2015,58
5/5/2015,59.11
5/6/2015,58.15
5/7/2015,60.15
5/8/2015,61.36
5/11/2015,60.74
5/12/2015,59.96
5/13/2015,59.53
5/14/2015,60.01
5/15/2015,59.89
5/18/2015,60.41
5/19/2015,59.62
5/20/2015,60.01
5/21/2015,61.05
5/22/2015,60.01
5/25/2015,59.59
5/26/2015,59.41
5/27/2015,58.34
5/28/2015,59.48
5/29/2015,56.94
6/1/2015,56.93
6/2/2015,52.48
6/3/2015,52.33
6/4/2015,51.61
6/5/2015,52.76
6/8/2015,52.74
6/9/2015,52.19
6/10/2015,53.05
6/11/2015,51.4
6/12/2015,50.9
6/15/2015,50.88
6/16/2015,50.11
6/17/2015,50.59
6/18/2015,49.27
6/19/2015,48.11
6/22/2015,47.98
6/23/2015,47.17
6/24/2015,47.97
6/25/2015,48.77
6/26/2015,48.53
6/29/2015,47.11
6/30/2015,45.25
7/1/2015,45.75
7/2/2015,45.13
7/3/2015,44.69
7/6/2015,43.87
7/7/2015,44.94
7/8/2015,43.11
7/9/2015,43.22
7/10/2015,42.27
7/13/2015,42.45
7/14/2015,41.93
7/15/2015,42.58
7/16/2015,40.75
7/17/2015,41
7/20/2015,40.45
7/21/2015,38.22
7/22/2015,39.15
7/23/2015,38.5
7/24/2015,42.47
7/27/2015,45.29
7/28/2015,49.2
7/29/2015,45.38
7/30/2015,46.3
7/31/2015,46.75
8/3/2015,46.02
8/4/2015,45.92
8/5/2015,44.13
8/6/2015,45.85
8/7/2015,44.75
8/10/2015,44.07
8/11/2015,44.58
8/12/2015,47.12
8/13/2015,46.93
8/14/2015,44.71
8/17/2015,46.67
8/18/2015,46.17
8/19/2015,44.53
8/20/2015,44.94
8/21/2015,45.55
8/24/2015,44.4
8/25/2015,45.24
8/26/2015,45.06
8/27/2015,44.75
8/28/2015,45.54
8/31/2015,46.28
9/1/2015,48.53
9/2/2015,47.86
9/3/2015,49.46
9/4/2015,49.67
9/7/2015,47.09
9/8/2015,46.7
9/9/2015,46.63
9/10/2015,46.38
9/11/2015,47.3
9/14/2015,45.91
9/15/2015,45.84
9/16/2015,45.22
9/17/2015,44.9
9/18/2015,43.91
9/21/2015,43.19
9/22/2015,43.21
9/23/2015,45.93
9/24/2015,46.02
9/25/2015,46.6
9/28/2015,46.12
9/29/2015,47.88
9/30/2015,46.32
10/1/2015,45.27
10/2/2015,44.32
10/5/2015,43.87
10/6/2015,44.23
10/7/2015,42.95
10/8/2015,41.74
10/9/2015,40.69
10/12/2015,41.68
10/13/2015,40.73
10/14/2015,40.75
10/15/2015,40.55
10/16/2015,39.39
10/19/2015,39.27
10/20/2015,40.89
10/21/2015,41.22
10/22/2015,40.57
10/23/2015,40.43
10/26/2015,40.58
10/27/2015,39.93
10/28/2015,41.08
10/29/2015,40
10/30/2015,37.64
11/2/2015,37.46
11/3/2015,37.16
11/4/2015,36.76
11/5/2015,35.65
11/6/2015,36.31
11/9/2015,37.32
11/10/2015,35.55
11/11/2015,34.98
11/12/2015,34.72
11/13/2015,34.55
11/16/2015,36.12
11/17/2015,36.76
11/18/2015,37.62
11/19/2015,36.36
11/20/2015,37.88
11/23/2015,36.59
11/24/2015,37.13
11/25/2015,36.81
11/26/2015,35.97
11/27/2015,33.97
11/30/2015,33.29
12/1/2015,33.2
12/2/2015,31.42
12/3/2015,30.42
12/4/2015,30.42
12/7/2015,31.22
12/8/2015,29.45
12/9/2015,28.47
12/10/2015,26.68
12/11/2015,29.55
12/14/2015,32.07
12/15/2015,30.31
12/16/2015,29.54
12/17/2015,32.32
12/18/2015,33.21
12/21/2015,33.66
12/22/2015,31.62
12/23/2015,29.9
12/24/2015,32.29
12/25/2015,31.63
12/28/2015,30.86
12/29/2015,29.71
12/30/2015,27.96
12/31/2015,27.54
1/1/2016,26.19
1/4/2016,29.32
1/5/2016,47.63
1/6/2016,29.05
1/7/2016,30.68
1/8/2016,30.77
1/11/2016,29.59
1/12/2016,31.37
1/13/2016,31.84
1/14/2016,30.35
1/15/2016,31.4
1/18/2016,31.65
1/19/2016,32.74
1/20/2016,34.39
1/21/2016,34.57
1/22/2016,34.56
1/25/2016,35.91
1/26/2016,37.9
1/27/2016,36.67
1/28/2016,37.62
1/29/2016,37.77
2/1/2016,38.51
2/2/2016,37.2
2/3/2016,36.32
2/4/2016,38.43
2/5/2016,40.17
2/8/2016,39.47
2/9/2016,39.91
2/10/2016,41.45
2/11/2016,38.28
2/12/2016,38.14
2/15/2016,47.63
2/16/2016,37.99
2/17/2016,36.91
2/18/2016,36.91
2/19/2016,36.94
2/22/2016,35.36
2/23/2016,34.3
2/24/2016,34.52
2/25/2016,37.74
2/26/2016,37.3
2/29/2016,39.74
3/1/2016,40.46
3/2/2016,42.12
3/3/2016,41.7
3/4/2016,41.45
3/7/2016,40.4
3/8/2016,39.74
3/9/2016,40.88
3/10/2016,42.72
3/11/2016,43.18
3/14/2016,42.76
3/15/2016,41.67
3/16/2016,42.52
3/17/2016,45.29
3/18/2016,46.03
3/21/2016,45.98
3/22/2016,44.75
3/23/2016,43.65
3/24/2016,43.77
3/25/2016,44.33
3/28/2016,44.58
3/29/2016,43.45
3/30/2016,44.68
3/31/2016,46.21
4/1/2016,46.64
4/4/2016,46.22
4/5/2016,47.72
4/6/2016,48.29
4/7/2016,48.12
4/8/2016,48.16
4/11/2016,47.67
4/12/2016,48.12
4/13/2016,48.04
4/14/2016,49.1
4/15/2016,49
4/18/2016,49.36
4/19/2016,47.63
4/20/2016,49.1
4/21/2016,49.07
4/22/2016,49.14
4/25/2016,48.69
4/26/2016,49.71
4/27/2016,50.37
4/28/2016,51.23
4/29/2016,50.52
5/2/2016,49.09
5/3/2016,48.89
5/4/2016,48.49
5/5/2016,47.92
5/6/2016,46.14
5/9/2016,48
5/10/2016,49.4
5/11/2016,48.95
5/12/2016,49.16
5/13/2016,49.34
5/16/2016,46.7
5/17/2016,45.8
5/18/2016,47.93
5/19/2016,49.85
5/20/2016,48.27
5/23/2016,49.02
5/24/2016,47.63
5/25/2016,46.73
5/26/2016,47.37
5/27/2016,45.22
5/30/2016,45.37
5/31/2016,44.73
6/1/2016,46.82
6/2/2016,44.87
6/3/2016,45.64
6/6/2016,45.93
6/7/2016,45.23
6/8/2016,44.64
6/9/2016,44.96
6/10/2016,43.96
6/13/2016,43.41
6/14/2016,42.4
6/15/2016,42.16
6/16/2016,41.9
6/17/2016,41.13
6/20/2016,41.54
6/21/2016,40.05
6/22/2016,39.5
6/23/2016,40.8
6/24/2016,41.92
6/27/2016,41.83
6/28/2016,43.06
6/29/2016,42.78
6/30/2016,41.75
7/1/2016,43.51
7/4/2016,44.47
7/5/2016,45.72
7/6/2016,46.57
7/7/2016,46.81
7/8/2016,48.2
7/11/2016,48.48
7/12/2016,46.8
7/13/2016,47.54
7/14/2016,46.29
7/15/2016,46.97
7/18/2016,47.64
7/19/2016,46.97
7/20/2016,46.32
7/21/2016,44.68
7/22/2016,43.17
7/25/2016,44.39
7/26/2016,47.63
7/27/2016,44.85
7/28/2016,45.47
7/29/2016,47.63
8/1/2016,45.88
8/2/2016,46.28
8/3/2016,44.91
8/4/2016,43.62
8/5/2016,43.85
8/8/2016,43.04
8/9/2016,43.34
8/10/2016,43.85
8/11/2016,45.33
8/12/2016,46.1
8/15/2016,44.36
8/16/2016,45.6
8/17/2016,44.65
8/18/2016,47.07
8/19/2016,47.72
8/22/2016,47.72
8/23/2016,48.8
8/24/2016,48.67
8/25/2016,49.75
8/26/2016,50.44
8/29/2016,49.76
8/30/2016,49.76
8/31/2016,50.72
9/1/2016,50.14
9/2/2016,50.47
9/5/2016,50.35
9/6/2016,49.97
9/7/2016,50.3
9/8/2016,51.59
9/9/2016,50.31
9/12/2016,50.61
9/13/2016,50.18
9/14/2016,49.45
9/15/2016,48.75
9/16/2016,49.71
9/19/2016,48.72
9/20/2016,46.83
9/21/2016,46.66
9/22/2016,45.32
9/23/2016,44.66
9/26/2016,44.07
9/27/2016,44.88
9/28/2016,44.96
9/29/2016,45.2
9/30/2016,44.62
10/3/2016,43.39
10/4/2016,43.29
10/5/2016,45.86
10/6/2016,45.56
10/7/2016,45.37
10/10/2016,45.69
10/11/2016,47.48
10/12/2016,48.07
10/13/2016,46.72
10/14/2016,45.69
10/17/2016,46.72
10/18/2016,45.66
10/19/2016,45.29
10/20/2016,49.41
10/21/2016,51.08
10/24/2016,51.7
10/25/2016,51.72
10/26/2016,50.95
10/27/2016,49.85
10/28/2016,50.84
10/31/2016,51.51
11/1/2016,52.74
11/2/2016,52.99
11/3/2016,51.01
11/4/2016,50.9
11/7/2016,51.93
11/8/2016,52.13
11/9/2016,52.22
11/10/2016,51.44
11/11/2016,51.98
11/14/2016,52.01
11/15/2016,49.58
11/16/2016,52.82
11/17/2016,54.01
11/18/2016,53.8
11/21/2016,53.75
11/22/2016,49.58
11/23/2016,52.36
11/24/2016,53.26
11/25/2016,53.77
11/28/2016,53.98
11/29/2016,51.95
11/30/2016,50.82
12/1/2016,52.19
12/2/2016,53.01
12/5/2016,52.36
12/6/2016,49.58
12/7/2016,52.45
12/8/2016,51.12
12/9/2016,51.39
12/12/2016,52.33
12/13/2016,52.77
12/14/2016,52.38
12/15/2016,52.14
12/16/2016,53.24
12/19/2016,53.18
12/20/2016,52.63
12/21/2016,52.75
12/22/2016,53.9
12/23/2016,53.55
12/26/2016,53.81
12/27/2016,53.01
12/28/2016,52.19
12/29/2016,52.37
12/30/2016,52.99
1/2/2017,53.84
1/3/2017,52.96
1/4/2017,53.21
1/5/2017,53.11
1/6/2017,53.41
1/9/2017,53.41
1/10/2017,49.58
1/11/2017,54.02
1/12/2017,53.61
1/13/2017,54.48
1/16/2017,53.99
1/17/2017,54.04
1/18/2017,54
1/19/2017,53.82
1/20/2017,52.63
1/23/2017,53.33
1/24/2017,53.19
1/25/2017,52.68
1/26/2017,49.83
1/27/2017,48.75
1/30/2017,48.05
1/31/2017,47.95
2/1/2017,47.24
2/2/2017,48.34
2/3/2017,48.3
2/6/2017,48.34
2/7/2017,47.79
2/8/2017,47.02
2/9/2017,47.29
2/10/2017,47
2/13/2017,47.3
2/14/2017,47.02
2/15/2017,48.36
2/16/2017,49.47
2/17/2017,50.3
2/20/2017,50.54
2/21/2017,50.25
2/22/2017,50.99
2/23/2017,51.14
2/24/2017,51.69
2/27/2017,52.25
2/28/2017,53.06
3/1/2017,53.38
3/2/2017,53.12
3/3/2017,53.19
3/6/2017,49.58
3/7/2017,52.62
3/8/2017,52.46
3/9/2017,50.49
3/10/2017,50.26
3/13/2017,49.64
3/14/2017,48.9
3/15/2017,49.22
3/16/2017,49.22
3/17/2017,48.96
3/20/2017,49.31
3/21/2017,48.83
3/22/2017,47.65
3/23/2017,47.79
3/24/2017,45.55
3/27/2017,46.23
3/28/2017,46.46
3/29/2017,45.84
3/30/2017,47.28
3/31/2017,47.81
4/3/2017,47.83
4/4/2017,48.86
4/5/2017,48.64
4/6/2017,49.04
4/7/2017,49.36
4/10/2017,50.32
4/11/2017,50.81
4/12/2017,51.12
4/13/2017,50.99
4/14/2017,48.57
4/17/2017,49.58
4/18/2017,49.58
4/19/2017,49.63
4/20/2017,48.29
4/21/2017,48.32
4/24/2017,47.68
4/25/2017,47.4
4/26/2017,48.13
4/27/2017,45.8
4/28/2017,45.68
5/1/2017,45.82
5/2/2017,46.1
5/3/2017,46.41
5/4/2017,44.79
5/5/2017,44.47
5/8/2017,44.73
5/9/2017,44.24
5/10/2017,43.34
5/11/2017,42.48
5/12/2017,42.53
5/15/2017,42.86
5/16/2017,43.24
5/17/2017,44.25
5/18/2017,44.74
5/19/2017,44.88
5/22/2017,46.02
5/23/2017,45.11
5/24/2017,45.52
5/25/2017,44.25
5/26/2017,44.4
5/29/2017,45.06
5/30/2017,45.48
5/31/2017,46.06
6/1/2017,46.53
6/2/2017,46.02
6/5/2017,46.4
6/6/2017,47.1
6/7/2017,46.73
6/8/2017,45.78
6/9/2017,46.21
6/12/2017,47.77
6/13/2017,48.58
6/14/2017,49.05
6/15/2017,49.72
6/16/2017,50.21
6/19/2017,49.19
6/20/2017,49.6
6/21/2017,49.03
6/22/2017,49.57
6/23/2017,49.37
6/26/2017,49.07
6/29/2017,49.59
6/30/2017,48.54
7/3/2017,48.81
7/4/2017,47.59
7/5/2017,47.57
7/6/2017,46.8
7/7/2017,47.07
7/10/2017,48.59
7/11/2017,47.39
7/12/2017,47.65
7/13/2017,48.45
7/14/2017,47.24
7/17/2017,47.65
7/18/2017,46.4
7/19/2017,46.46
7/20/2017,45.96
7/21/2017,47.26
